"var","year","mean","lci","uci","prov","zone","Description_En","Description_Fr"
"ACTIOT",1976,68329,66098,70639,"Canada",NA,"Active non-waterfowl hunters","Chasseurs d'oiseaux autres que la sauvagine actifs"
"ACTIOT",1977,71440,69372,73563,"Canada",NA,"Active non-waterfowl hunters","Chasseurs d'oiseaux autres que la sauvagine actifs"
"ACTIOT",1978,74121,72047,76306,"Canada",NA,"Active non-waterfowl hunters","Chasseurs d'oiseaux autres que la sauvagine actifs"
"ACTIOT",1979,66856,64943,68699,"Canada",NA,"Active non-waterfowl hunters","Chasseurs d'oiseaux autres que la sauvagine actifs"
"ACTIOT",1980,67928,65989,69890,"Canada",NA,"Active non-waterfowl hunters","Chasseurs d'oiseaux autres que la sauvagine actifs"
"ACTIOT",1981,63489,61564,65457,"Canada",NA,"Active non-waterfowl hunters","Chasseurs d'oiseaux autres que la sauvagine actifs"
"ACTIOT",1982,62920,61125,64772,"Canada",NA,"Active non-waterfowl hunters","Chasseurs d'oiseaux autres que la sauvagine actifs"
"ACTIOT",1983,58922,57335,60542,"Canada",NA,"Active non-waterfowl hunters","Chasseurs d'oiseaux autres que la sauvagine actifs"
"ACTIOT",1984,55352,53866,56908,"Canada",NA,"Active non-waterfowl hunters","Chasseurs d'oiseaux autres que la sauvagine actifs"
"ACTIOT",1985,49918,48520,51298,"Canada",NA,"Active non-waterfowl hunters","Chasseurs d'oiseaux autres que la sauvagine actifs"
"ACTIOT",1986,50320,48967,51702,"Canada",NA,"Active non-waterfowl hunters","Chasseurs d'oiseaux autres que la sauvagine actifs"
"ACTIOT",1987,46461,45197,47948,"Canada",NA,"Active non-waterfowl hunters","Chasseurs d'oiseaux autres que la sauvagine actifs"
"ACTIOT",1988,40727,39561,41871,"Canada",NA,"Active non-waterfowl hunters","Chasseurs d'oiseaux autres que la sauvagine actifs"
"ACTIOT",1989,39828,38721,40972,"Canada",NA,"Active non-waterfowl hunters","Chasseurs d'oiseaux autres que la sauvagine actifs"
