Prov_ID,prov,Prov_name_e,Prov_name_f,Prov_name_long_e,Prov_name_long_f
0,CAN,Canada,Canada,Canada,Canada
1,YT,Yukon,Yukon,Yukon,Yukon
2,NT,Northwest Territories,Territoires du Nord-Ouest,Northwest Territories,Territoires du Nord-Ouest
3,BC,British Columbia,Colombie-Britannique,British Columbia,Colombie-Britannique
4,AB,Alberta,Alberta,Alberta,Alberta
5,SK,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan
6,MB,Manitoba,Manitoba,Manitoba,Manitoba
7,ON,Ontario,Ontario,Ontario,Ontario
8,PQ,Quebec,Québec,Quebec,Québec
9,NB,New Brunswick,Nouveau-Brunswick,New Brunswick,Nouveau-Brunswick
10,NS,Nova Scotia,Nouvelle-Écosse,Nova Scotia,Nouvelle-Écosse
11,PE,Prince Edward Island,Île-du-Prince-Édouard,Prince Edward Island,Île-du-Prince-Édouard
12,NF,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Terre-Neuve-et-Labrador
13,NV,Nunavut,Nunavut,Nunavut,Nunavut
