"pr","zo","period","startweek","endweek"
"AB",1,1,1,3
"AB",1,2,4,4
"AB",1,3,5,5
"AB",1,4,6,6
"AB",1,5,7,7
"AB",1,6,8,8
"AB",1,7,9,27
"AB",2,1,1,2
"AB",2,2,3,4
"AB",2,3,5,5
"AB",2,4,6,6
"AB",2,5,7,7
"AB",2,6,8,8
"AB",2,7,9,28
"BC",1,1,1,3
"BC",1,2,4,4
"BC",1,3,5,5
"BC",1,4,6,6
"BC",1,5,7,8
"BC",1,6,9,10
"BC",1,7,11,24
"BC",2,1,1,6
"BC",2,2,7,8
"BC",2,3,9,10
"BC",2,4,11,12
"BC",2,5,13,14
"BC",2,6,15,16
"BC",2,7,17,34
"MB",1,1,1,3
"MB",1,2,4,4
"MB",1,3,5,5
"MB",1,4,6,6
"MB",1,5,7,7
"MB",1,6,8,8
"MB",1,7,9,30
"MB",2,1,1,2
"MB",2,2,3,3
"MB",2,3,4,4
"MB",2,4,5,5
"MB",2,5,6,6
"MB",2,6,7,7
"MB",2,7,8,23
"NB",1,1,1,5
"NB",1,2,6,6
"NB",1,3,7,8
"NB",1,4,9,28
"NB",2,1,1,5
"NB",2,2,6,6
"NB",2,3,7,8
"NB",2,4,9,22
"NF",1,1,1,3
"NF",1,2,4,4
"NF",1,3,5,5
"NF",1,4,6,7
"NF",1,5,8,11
"NF",1,6,12,15
"NF",1,7,16,32
"NF",2,1,1,1
"NF",2,2,2,2
"NF",2,3,3,3
"NF",2,4,4,4
"NF",2,5,5,5
"NF",2,6,6,7
"NF",2,7,8,26
"NS",1,1,1,6
"NS",1,2,7,7
"NS",1,3,8,9
"NS",1,4,10,12
"NS",1,5,13,15
"NS",1,6,16,28
"NS",2,1,1,5
"NS",2,2,6,6
"NS",2,3,7,7
"NS",2,4,8,9
"NS",2,5,10,12
"NS",2,6,13,25
"NT",1,1,1,1
"NT",1,2,2,2
"NT",1,3,3,3
"NT",1,4,4,4
"NT",1,5,5,15
"ON",1,1,1,4
"ON",1,2,5,5
"ON",1,3,6,7
"ON",1,4,8,9
"ON",1,5,10,11
"ON",1,6,12,32
"ON",2,1,1,4
"ON",2,2,5,5
"ON",2,3,6,6
"ON",2,4,7,8
"ON",2,5,9,35
"ON",3,1,1,3
"ON",3,2,4,4
"ON",3,3,5,5
"ON",3,4,6,6
"ON",3,5,7,27
"PE",1,1,1,5
"PE",1,2,6,6
"PE",1,3,7,7
"PE",1,4,8,9
"PE",1,5,10,11
"PE",1,6,12,23
"PQ",1,1,1,3
"PQ",1,2,4,4
"PQ",1,3,5,5
"PQ",1,4,6,6
"PQ",1,5,7,8
"PQ",1,6,9,35
"PQ",2,1,1,3
"PQ",2,2,4,4
"PQ",2,3,5,5
"PQ",2,4,6,7
"PQ",2,5,8,30
"SK",1,1,1,2
"SK",1,2,3,4
"SK",1,3,5,5
"SK",1,4,6,6
"SK",1,5,7,7
"SK",1,6,8,8
"SK",1,7,9,23
"SK",2,1,1,2
"SK",2,2,3,3
"SK",2,3,4,4
"SK",2,4,5,5
"SK",2,5,6,6
"SK",2,6,7,7
"SK",2,7,8,18
"SK",3,1,1,3
"SK",3,2,4,5
"SK",3,3,6,6
"SK",3,4,7,7
"SK",3,5,8,8
"SK",3,6,9,20
"YT",1,1,1,1
"YT",1,2,2,2
"YT",1,3,3,3
"YT",1,4,4,5
"YT",1,5,6,6
"YT",1,6,7,11
