"","YEAR","NF","PE","NS","NB","PQ","ON","MB","SK","AB","BC","NU","NT","YT","Comments"
"1",1975,0,0,0,0,6,5,8,8,10,25,0,25,25,""
"2",1976,0,0,0,0,6,10,8,8,10,25,0,25,25,""
"3",1977,0,0,0,0,6,10,8,8,10,10,0,25,25,""
"4",1978,0,0,0,0,6,10,8,10,10,10,0,25,25,""
"5",1979,0,0,0,0,6,10,8,10,10,10,0,25,25,""
"6",1980,0,0,0,0,6,10,8,10,10,10,0,25,25,""
"7",1981,0,0,0,0,6,10,8,10,10,10,0,25,25,""
"8",1982,0,0,0,0,6,10,8,10,10,10,0,25,25,""
"9",1983,0,0,0,0,6,10,8,10,10,10,0,25,25,""
"10",1984,0,0,0,0,6,10,8,10,10,10,0,25,25,""
"11",1985,0,0,0,0,6,10,8,10,10,10,0,25,25,""
"12",1986,0,0,0,0,6,10,8,10,10,10,0,25,25,""
"13",1987,0,0,0,0,6,10,8,10,10,10,0,25,25,""
"14",1988,0,0,0,0,6,10,8,10,10,10,0,25,25,""
"15",1989,0,0,0,0,6,10,8,10,10,10,0,25,25,""
"16",1990,0,0,0,0,6,10,8,10,10,10,0,25,25,""
"17",1991,0,0,0,0,6,10,8,10,10,10,0,25,25,""
"18",1992,0,0,0,0,2,10,8,10,10,10,0,25,25,""
"19",1993,0,0,0,0,2,10,8,10,10,10,0,25,25,""
"20",1994,0,0,0,0,2,10,8,10,10,10,0,25,25,""
"21",1995,0,0,0,0,2,10,8,10,10,10,0,25,25,""
"22",1996,0,0,0,0,2,10,8,10,10,10,0,25,25,""
"23",1997,0,0,0,0,4,10,8,10,10,10,0,25,25,""
"24",1998,0,0,0,0,4,10,8,10,10,10,0,25,25,""
"25",1999,0,0,0,0,4,10,8,10,10,10,25,25,25,""
"26",2000,0,0,0,0,4,10,8,10,10,10,25,25,25,"No bag limit found, assuming no change. "
"27",2001,0,0,0,0,4,10,8,10,10,10,25,25,25,""
"28",2002,0,0,0,0,4,10,8,10,10,10,25,25,25,""
"29",2003,0,0,0,0,4,10,8,10,10,10,25,25,25,""
"30",2004,0,0,0,0,4,10,8,10,10,10,25,25,25,""
"31",2005,0,0,0,0,4,10,8,10,10,10,25,25,25,""
"32",2006,0,0,0,0,4,10,8,10,10,10,25,25,25,""
"33",2007,0,0,0,0,4,10,8,10,10,10,25,25,25,""
"34",2008,0,0,0,0,4,10,8,10,10,10,25,25,25,""
"35",2009,0,0,0,0,4,10,8,10,10,10,25,25,25,""
"36",2010,0,0,0,0,4,8,8,10,8,10,25,25,25,""
"37",2011,0,0,0,0,4,8,8,10,8,10,25,25,25,""
"38",2012,0,0,0,0,4,8,8,10,8,10,25,25,25,""
"39",2013,0,0,0,0,4,8,8,10,8,10,25,25,25,""
"40",2014,0,0,0,0,4,8,8,10,8,10,25,25,25,""
"41",2015,0,0,0,0,4,8,8,10,8,10,25,25,25,""
"42",2016,0,0,0,0,4,8,8,10,8,10,25,25,25,""
"43",2017,0,0,0,0,4,8,8,10,8,10,25,25,25,""
"44",2018,0,0,0,0,4,8,8,10,8,10,25,25,25,""
"45",2019,0,0,0,0,4,8,8,10,8,10,25,25,25,""
"46",2020,0,0,0,0,4,8,8,10,8,10,25,25,25,""
"47",2021,0,0,0,0,4,8,8,10,8,10,25,25,25,""
"48",2022,0,0,0,0,4,8,8,10,8,10,25,25,25,""
