"","YEAR","NF","PE","NS","NB","PQ","ON","MB","SK","AB","BC","NU","NT","YT","Comments"
"1",1975,10,10,10,10,10,10,10,10,10,10,0,10,10,""
"2",1976,10,10,10,10,10,10,10,10,10,10,0,10,10,""
"3",1977,10,10,10,10,10,10,10,10,10,10,0,10,10,""
"4",1978,10,10,10,10,10,10,10,10,10,10,0,10,10,""
"5",1979,10,10,10,10,10,10,10,10,10,10,0,10,10,""
"6",1980,10,10,10,10,10,10,10,10,10,10,0,10,10,""
"7",1981,10,10,10,10,10,10,10,10,10,10,0,10,10,""
"8",1982,10,10,10,10,10,10,10,10,10,10,0,10,10,""
"9",1983,10,10,10,10,10,10,10,10,10,10,0,10,10,""
"10",1984,10,10,10,10,10,10,10,10,10,10,0,10,10,""
"11",1985,10,10,10,10,10,10,10,10,10,10,0,10,10,""
"12",1986,10,10,10,10,10,10,10,10,10,10,0,10,10,""
"13",1987,10,10,10,10,10,10,10,10,10,10,0,10,10,""
"14",1988,10,10,10,10,10,10,10,10,10,10,0,10,10,""
"15",1989,10,10,10,10,10,10,10,10,10,10,0,10,10,""
"16",1990,10,10,10,10,10,10,10,10,10,10,0,10,10,""
"17",1991,10,10,10,10,10,10,10,10,10,10,0,10,10,""
"18",1992,10,10,10,10,10,10,10,10,10,10,0,10,10,""
"19",1993,10,10,10,10,10,10,10,10,10,10,0,10,10,""
"20",1994,10,10,10,10,10,10,10,10,10,10,0,10,10,""
"21",1995,10,10,10,10,10,10,10,10,10,10,0,10,10,""
"22",1996,10,10,10,10,10,10,10,10,10,10,0,10,10,""
"23",1997,10,10,10,10,10,10,10,10,10,10,0,10,10,""
"24",1998,10,10,10,10,10,10,10,10,10,10,0,10,10,""
"25",1999,10,10,10,10,10,10,10,10,10,10,10,10,10,""
"26",2000,10,10,10,10,10,10,10,10,10,10,10,10,10,"No bag limit found, assuming no change. "
"27",2001,10,10,10,10,10,10,10,10,10,10,10,10,10,""
"28",2002,10,10,10,10,10,10,10,10,10,10,10,10,10,""
"29",2003,10,10,10,10,10,10,10,10,10,10,10,10,10,""
"30",2004,10,10,10,10,10,10,10,10,10,10,10,10,10,""
"31",2005,10,10,10,10,10,10,10,10,10,10,10,10,10,""
"32",2006,10,10,10,10,10,10,10,10,10,10,10,10,10,""
"33",2007,10,10,10,10,10,10,10,10,10,10,10,10,10,""
"34",2008,10,10,10,10,10,10,10,10,10,10,10,10,10,""
"35",2009,10,10,10,10,10,10,10,10,10,10,10,10,10,""
"36",2010,10,10,10,10,10,10,10,10,8,10,10,10,10,""
"37",2011,10,10,10,10,10,10,10,10,8,10,10,10,10,""
"38",2012,10,10,10,10,10,10,10,10,8,10,10,10,10,""
"39",2013,10,10,10,10,10,10,10,10,8,10,10,10,10,""
"40",2014,10,10,10,10,10,10,10,10,8,10,10,10,10,""
"41",2015,10,10,10,10,10,10,10,10,8,10,10,10,10,""
"42",2016,10,10,10,10,10,10,10,10,8,10,10,10,10,""
"43",2017,10,10,10,10,10,10,10,10,8,10,10,10,10,""
"44",2018,10,10,10,10,10,10,10,10,8,10,10,10,10,""
"45",2019,10,10,10,10,10,10,10,10,8,10,10,10,10,""
"46",2020,10,10,10,10,10,10,10,10,8,10,10,10,10,""
"47",2021,10,10,10,10,10,10,10,10,8,10,10,10,10,""
"48",2022,10,10,10,10,10,10,10,10,8,10,10,10,10,""
