group,YEAR,NF,PE,NS,NB,PQ,ON,MB,SK,AB,BC,NU,NT,YT,Comments
SNIPK,1975,10,10,10,10,10,10,10,10,10,10,0,10,10,
SNIPK,1976,10,10,10,10,10,10,10,10,10,10,0,10,10,
SNIPK,1977,10,10,10,10,10,10,10,10,10,10,0,10,10,
SNIPK,1978,10,10,10,10,10,10,10,10,10,10,0,10,10,
SNIPK,1979,10,10,10,10,10,10,10,10,10,10,0,10,10,
SNIPK,1980,10,10,10,10,10,10,10,10,10,10,0,10,10,
SNIPK,1981,10,10,10,10,10,10,10,10,10,10,0,10,10,
SNIPK,1982,10,10,10,10,10,10,10,10,10,10,0,10,10,
SNIPK,1983,10,10,10,10,10,10,10,10,10,10,0,10,10,
SNIPK,1984,10,10,10,10,10,10,10,10,10,10,0,10,10,
SNIPK,1985,10,10,10,10,10,10,10,10,10,10,0,10,10,
SNIPK,1986,10,10,10,10,10,10,10,10,10,10,0,10,10,
SNIPK,1987,10,10,10,10,10,10,10,10,10,10,0,10,10,
SNIPK,1988,10,10,10,10,10,10,10,10,10,10,0,10,10,
SNIPK,1989,10,10,10,10,10,10,10,10,10,10,0,10,10,
SNIPK,1990,10,10,10,10,10,10,10,10,10,10,0,10,10,
SNIPK,1991,10,10,10,10,10,10,10,10,10,10,0,10,10,
SNIPK,1992,10,10,10,10,10,10,10,10,10,10,0,10,10,
SNIPK,1993,10,10,10,10,10,10,10,10,10,10,0,10,10,
SNIPK,1994,10,10,10,10,10,10,10,10,10,10,0,10,10,
SNIPK,1995,10,10,10,10,10,10,10,10,10,10,0,10,10,
SNIPK,1996,10,10,10,10,10,10,10,10,10,10,0,10,10,
SNIPK,1997,10,10,10,10,10,10,10,10,10,10,0,10,10,
SNIPK,1998,10,10,10,10,10,10,10,10,10,10,0,10,10,
SNIPK,1999,10,10,10,10,10,10,10,10,10,10,10,10,10,
SNIPK,2000,10,10,10,10,10,10,10,10,10,10,10,10,10,"No bag limit found, assuming no change. "
SNIPK,2001,10,10,10,10,10,10,10,10,10,10,10,10,10,
SNIPK,2002,10,10,10,10,10,10,10,10,10,10,10,10,10,
SNIPK,2003,10,10,10,10,10,10,10,10,10,10,10,10,10,
SNIPK,2004,10,10,10,10,10,10,10,10,10,10,10,10,10,
SNIPK,2005,10,10,10,10,10,10,10,10,10,10,10,10,10,
SNIPK,2006,10,10,10,10,10,10,10,10,10,10,10,10,10,
SNIPK,2007,10,10,10,10,10,10,10,10,10,10,10,10,10,
SNIPK,2008,10,10,10,10,10,10,10,10,10,10,10,10,10,
SNIPK,2009,10,10,10,10,10,10,10,10,10,10,10,10,10,
SNIPK,2010,10,10,10,10,10,10,10,10,8,10,10,10,10,
SNIPK,2011,10,10,10,10,10,10,10,10,8,10,10,10,10,
SNIPK,2012,10,10,10,10,10,10,10,10,8,10,10,10,10,
SNIPK,2013,10,10,10,10,10,10,10,10,8,10,10,10,10,
SNIPK,2014,10,10,10,10,10,10,10,10,8,10,10,10,10,
SNIPK,2015,10,10,10,10,10,10,10,10,8,10,10,10,10,
SNIPK,2016,10,10,10,10,10,10,10,10,8,10,10,10,10,
SNIPK,2017,10,10,10,10,10,10,10,10,8,10,10,10,10,
SNIPK,2018,10,10,10,10,10,10,10,10,8,10,10,10,10,
SNIPK,2019,10,10,10,10,10,10,10,10,8,10,10,10,10,
SNIPK,2020,10,10,10,10,10,10,10,10,8,10,10,10,10,
SNIPK,2021,10,10,10,10,10,10,10,10,8,10,10,10,10,
SNIPK,2022,10,10,10,10,10,10,10,10,8,10,10,10,10,
PIGEK,1975,0,0,0,0,0,0,0,0,0,10,0,0,0,
PIGEK,1976,0,0,0,0,0,0,0,0,0,10,0,0,0,
PIGEK,1977,0,0,0,0,0,0,0,0,0,10,0,0,0,
PIGEK,1978,0,0,0,0,0,0,0,0,0,10,0,0,0,
PIGEK,1979,0,0,0,0,0,0,0,0,0,10,0,0,0,
PIGEK,1980,0,0,0,0,0,0,0,0,0,10,0,0,0,
PIGEK,1981,0,0,0,0,0,0,0,0,0,10,0,0,0,
PIGEK,1982,0,0,0,0,0,0,0,0,0,10,0,0,0,
PIGEK,1983,0,0,0,0,0,0,0,0,0,10,0,0,0,
PIGEK,1984,0,0,0,0,0,0,0,0,0,10,0,0,0,
PIGEK,1985,0,0,0,0,0,0,0,0,0,10,0,0,0,
PIGEK,1986,0,0,0,0,0,0,0,0,0,10,0,0,0,
PIGEK,1987,0,0,0,0,0,0,0,0,0,10,0,0,0,
PIGEK,1988,0,0,0,0,0,0,0,0,0,10,0,0,0,
PIGEK,1989,0,0,0,0,0,0,0,0,0,10,0,0,0,
PIGEK,1990,0,0,0,0,0,0,0,0,0,5,0,0,0,
PIGEK,1991,0,0,0,0,0,0,0,0,0,5,0,0,0,
PIGEK,1992,0,0,0,0,0,0,0,0,0,5,0,0,0,
PIGEK,1993,0,0,0,0,0,0,0,0,0,5,0,0,0,
PIGEK,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,
PIGEK,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,
PIGEK,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,
PIGEK,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,
PIGEK,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,
PIGEK,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,
PIGEK,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,
PIGEK,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,
PIGEK,2002,0,0,0,0,0,0,0,0,0,5,0,0,0,
PIGEK,2003,0,0,0,0,0,0,0,0,0,5,0,0,0,
PIGEK,2004,0,0,0,0,0,0,0,0,0,5,0,0,0,
PIGEK,2005,0,0,0,0,0,0,0,0,0,5,0,0,0,
PIGEK,2006,0,0,0,0,0,0,0,0,0,5,0,0,0,
PIGEK,2007,0,0,0,0,0,0,0,0,0,5,0,0,0,
PIGEK,2008,0,0,0,0,0,0,0,0,0,5,0,0,0,
PIGEK,2009,0,0,0,0,0,0,0,0,0,5,0,0,0,
PIGEK,2010,0,0,0,0,0,0,0,0,0,5,0,0,0,
PIGEK,2011,0,0,0,0,0,0,0,0,0,5,0,0,0,
PIGEK,2012,0,0,0,0,0,0,0,0,0,5,0,0,0,
PIGEK,2013,0,0,0,0,0,0,0,0,0,5,0,0,0,
PIGEK,2014,0,0,0,0,0,0,0,0,0,5,0,0,0,
PIGEK,2015,0,0,0,0,0,0,0,0,0,5,0,0,0,
PIGEK,2016,0,0,0,0,0,0,0,0,0,5,0,0,0,
PIGEK,2017,0,0,0,0,0,0,0,0,0,5,0,0,0,
PIGEK,2018,0,0,0,0,0,0,0,0,0,5,0,0,0,
PIGEK,2019,0,0,0,0,0,0,0,0,0,5,0,0,0,
