Variable_Code,Province_ID,Zone_ID,Year,Estimate,lci,uci,Description_En,Description_Fr,Province_Name,Province_Nom
ACTIOT,CAN,0,2023,4041,3722,4362,Active non-waterfowl hunters,Chasseurs d'oiseaux autres que la sauvagine actifs,Canada,Canada
ACTIOT,CAN,0,2022,13700,13047,14288,Active non-waterfowl hunters,Chasseurs d'oiseaux autres que la sauvagine actifs,Canada,Canada
ACTIOT,CAN,0,2021,13933,13367,14494,Active non-waterfowl hunters,Chasseurs d'oiseaux autres que la sauvagine actifs,Canada,Canada
ACTIOT,CAN,0,2020,12878,12366,13445,Active non-waterfowl hunters,Chasseurs d'oiseaux autres que la sauvagine actifs,Canada,Canada
ACTIOT,CAN,0,2019,15220,14636,15864,Active non-waterfowl hunters,Chasseurs d'oiseaux autres que la sauvagine actifs,Canada,Canada
ACTIOT,CAN,0,2018,15377,14803,16030,Active non-waterfowl hunters,Chasseurs d'oiseaux autres que la sauvagine actifs,Canada,Canada
ACTIOT,CAN,0,2017,15916,15292,16554,Active non-waterfowl hunters,Chasseurs d'oiseaux autres que la sauvagine actifs,Canada,Canada
ACTIOT,CAN,0,2016,16473,15844,17109,Active non-waterfowl hunters,Chasseurs d'oiseaux autres que la sauvagine actifs,Canada,Canada
ACTIOT,CAN,0,2015,17284,16579,17936,Active non-waterfowl hunters,Chasseurs d'oiseaux autres que la sauvagine actifs,Canada,Canada
ACTIOT,CAN,0,2014,17547,16872,18225,Active non-waterfowl hunters,Chasseurs d'oiseaux autres que la sauvagine actifs,Canada,Canada
ACTIOT,CAN,0,2013,17514,16847,18179,Active non-waterfowl hunters,Chasseurs d'oiseaux autres que la sauvagine actifs,Canada,Canada
ACTIOT,CAN,0,2012,15705,15079,16257,Active non-waterfowl hunters,Chasseurs d'oiseaux autres que la sauvagine actifs,Canada,Canada
ACTIOT,CAN,0,2011,14795,14252,15342,Active non-waterfowl hunters,Chasseurs d'oiseaux autres que la sauvagine actifs,Canada,Canada
ACTIOT,CAN,0,2010,13819,13297,14396,Active non-waterfowl hunters,Chasseurs d'oiseaux autres que la sauvagine actifs,Canada,Canada
ACTIOT,CAN,0,2009,14455,13913,14990,Active non-waterfowl hunters,Chasseurs d'oiseaux autres que la sauvagine actifs,Canada,Canada
ACTIOT,CAN,0,2008,15339,14836,15902,Active non-waterfowl hunters,Chasseurs d'oiseaux autres que la sauvagine actifs,Canada,Canada
ACTIOT,CAN,0,2007,15597,15055,16140,Active non-waterfowl hunters,Chasseurs d'oiseaux autres que la sauvagine actifs,Canada,Canada
ACTIOT,CAN,0,2006,15960,15389,16496,Active non-waterfowl hunters,Chasseurs d'oiseaux autres que la sauvagine actifs,Canada,Canada
ACTIOT,CAN,0,2005,16090,15545,16635,Active non-waterfowl hunters,Chasseurs d'oiseaux autres que la sauvagine actifs,Canada,Canada
ACTIOT,CAN,0,2004,16680,16116,17245,Active non-waterfowl hunters,Chasseurs d'oiseaux autres que la sauvagine actifs,Canada,Canada
ACTIOT,CAN,0,2003,16923,16396,17469,Active non-waterfowl hunters,Chasseurs d'oiseaux autres que la sauvagine actifs,Canada,Canada
ACTIOT,CAN,0,2002,17333,16793,17911,Active non-waterfowl hunters,Chasseurs d'oiseaux autres que la sauvagine actifs,Canada,Canada
ACTIOT,CAN,0,2001,17942,17348,18480,Active non-waterfowl hunters,Chasseurs d'oiseaux autres que la sauvagine actifs,Canada,Canada
ACTIOT,CAN,0,2000,20056,19394,20695,Active non-waterfowl hunters,Chasseurs d'oiseaux autres que la sauvagine actifs,Canada,Canada
ACTIOT,CAN,0,1999,20793,20187,21465,Active non-waterfowl hunters,Chasseurs d'oiseaux autres que la sauvagine actifs,Canada,Canada
ACTIOT,CAN,0,1998,21636,21007,22281,Active non-waterfowl hunters,Chasseurs d'oiseaux autres que la sauvagine actifs,Canada,Canada
ACTIOT,CAN,0,1997,21748,21086,22405,Active non-waterfowl hunters,Chasseurs d'oiseaux autres que la sauvagine actifs,Canada,Canada
ACTIOT,CAN,0,1996,25668,24921,26439,Active non-waterfowl hunters,Chasseurs d'oiseaux autres que la sauvagine actifs,Canada,Canada
ACTIOT,CAN,0,1995,27432,26681,28258,Active non-waterfowl hunters,Chasseurs d'oiseaux autres que la sauvagine actifs,Canada,Canada
ACTIOT,CAN,0,1994,30550,29740,31465,Active non-waterfowl hunters,Chasseurs d'oiseaux autres que la sauvagine actifs,Canada,Canada
ACTIOT,CAN,0,1993,32204,31306,33197,Active non-waterfowl hunters,Chasseurs d'oiseaux autres que la sauvagine actifs,Canada,Canada
ACTIOT,CAN,0,1992,34493,33559,35527,Active non-waterfowl hunters,Chasseurs d'oiseaux autres que la sauvagine actifs,Canada,Canada
ACTIOT,CAN,0,1991,37160,36086,38190,Active non-waterfowl hunters,Chasseurs d'oiseaux autres que la sauvagine actifs,Canada,Canada
